feature,gain,gain_pct,cum_gain_pct
V320,23639.208156585693,0.0019023610355387223,0.900375807567282
D5,22906.607109069824,0.0018434050976681563,0.9022192126649501
V69,22540.802837371826,0.0018139670645283695,0.9040331797294785
V30,21880.73418045044,0.0017608481577786187,0.9057940278872572
V131,21827.872135162354,0.0017565940941674854,0.9075506219814247
V296,21427.822454452515,0.0017244001678810804,0.9092750221493058
V156,20985.84305381775,0.0016888319549058883,0.9109638541042117
id_09,20511.91130256653,0.0016506923822470732,0.9126145464864587
V133,19174.541959762573,0.0015430678243083383,0.914157614310767
V130,18645.59810447693,0.0015005011624464979,0.9156581154732135
V243,18298.34715270996,0.001472556204399704,0.9171306716776132
V20,17970.132963180542,0.001446143226378791,0.918576814903992
V149,16037.29356765747,0.0012905983227745246,0.9198674132267666
id_01,15509.489622116089,0.0012481233949448545,0.9211155366217114
id_05,15370.103527069092,0.0012369063239517455,0.9223524429456632
V128,15193.541006088257,0.0012226974867510436,0.9235751404324143
V75,15143.41093635559,0.0012186632783826176,0.9247938037107969
V102,14945.80239868164,0.0012027607667641825,0.9259965644775611
V165,14839.01205253601,0.0011941668328162493,0.9271907313103773
V38,14569.958757400513,0.0011725148171582512,0.9283632461275356
V29,13813.859832763672,0.0011116678918418829,0.9294749140193775
V35,13682.56582069397,0.001101102029774656,0.9305760160491522
V56,13374.43140411377,0.0010763049678795297,0.9316523210170318
id_17,13315.194787979126,0.0010715379118231144,0.9327238589288549
id_19,12732.916194915771,0.001024679146506839,0.9337485380753617
M2,12590.159482955933,0.0010131908257223561,0.9347617289010841
V61,12563.32886314392,0.0010110316364063847,0.9357727605374905
V36,12158.277912139893,0.0009784352337902803,0.9367511957712807
V12,11993.362287521362,0.0009651636784848873,0.9377163594497656
V13,11546.455167770386,0.0009291989081978486,0.9386455583579635
id_06,11147.494979858398,0.0008970926586488962,0.9395426510166124
dist2,11116.724891662598,0.000894616441321478,0.9404372674579339
V136,10772.518964767456,0.0008669165311049684,0.9413041839890388
V298,10489.658067703247,0.0008441533511588343,0.9421483373401977
id_03,10357.61003112793,0.0008335268091047895,0.9429818641493024
D13,10350.782495498657,0.0008329773643998804,0.9438148415137023
